"year" "country" "new.onset" "warl" "gdpenl" "lpopl1" "lmtnest" "ncontig" "Oil" "nwstate" "instab" "polity2l" "ethfrac" "relfrac"
"1" 1945 "USA" 0 0  7.626 11.856296 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"2" 1946 "USA" 0 0  7.626 11.856296 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"3" 1947 "USA" 0 0  7.654 11.863132 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"4" 1948 "USA" 0 0  8.025 11.868591 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"5" 1949 "USA" 0 0  8.270 11.886735 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"6" 1950 "USA" 0 0  8.040 11.904880 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"7" 1951 "USA" 0 0  8.772 11.933431 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"8" 1952 "USA" 0 0  9.109 11.951180 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"9" 1953 "USA" 0 0  9.074 11.968621 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"10" 1954 "USA" 0 0  9.300 11.985893 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"11" 1955 "USA" 0 0  9.089 12.002744 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"12" 1956 "USA" 0 0  9.723 12.019316 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"13" 1957 "USA" 0 0  9.712 12.036956 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"14" 1958 "USA" 0 0  9.643 12.054290 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"15" 1959 "USA" 0 0  9.370 12.071209 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"16" 1960 "USA" 0 0  9.839 12.087965 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"17" 1961 "USA" 0 0  9.895 12.104445 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"18" 1962 "USA" 0 0  9.946 12.120989 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"19" 1963 "USA" 0 0 10.358 12.136385 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"20" 1964 "USA" 0 0 10.642 12.150792 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"21" 1965 "USA" 0 0 11.072 12.164672 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"22" 1966 "USA" 0 0 11.649 12.177205 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"23" 1967 "USA" 0 0 12.164 12.188744 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"24" 1968 "USA" 0 0 12.318 12.199637 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"25" 1969 "USA" 0 0 12.723 12.209597 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"26" 1970 "USA" 0 0 12.975 12.219359 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"27" 1971 "USA" 0 0 12.963 12.231019 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"28" 1972 "USA" 0 0 13.233 12.243662 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"29" 1973 "USA" 0 0 13.747 12.254368 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"30" 1974 "USA" 0 0 14.379 12.263912 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"31" 1975 "USA" 0 0 14.078 12.273048 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"32" 1976 "USA" 0 0 13.682 12.282908 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"33" 1977 "USA" 0 0 14.271 12.292411 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"34" 1978 "USA" 0 0 14.832 12.302468 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"35" 1979 "USA" 0 0 15.440 12.313065 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"36" 1980 "USA" 0 0 15.637 12.324100 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"37" 1981 "USA" 0 0 15.295 12.336035 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"38" 1982 "USA" 0 0 15.502 12.346435 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"39" 1983 "USA" 0 0 14.897 12.356731 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"40" 1984 "USA" 0 0 15.290 12.366485 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"41" 1985 "USA" 0 0 16.255 12.375819 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"42" 1986 "USA" 0 0 16.570 12.385386 3.21486783 1 0 0 0  10 0.356950104 0.59599996
"43" 1987 "USA" 0 0 16.848 12.395143 3.21486783 1 0 0 0  10 0.356950104 0.59599996
