"","country","date","gdp","unem","capmob","trade"
"1","United States",1966,5.1111407,3.8,0,9.622906
"3","United States",1968,4.7,3.6,0,10.08912
"8","United States",1973,5.7,4.9,0,11.76705
"26","Canada",1966,6.8021676,3.6,0,38.45467
"28","Canada",1968,5.6,4.8,0,41.06574
"29","Canada",1969,5.2,4.7,0,42.76849
"53","United Kingdom",1968,4.1,2.5,-1,37.76296
"58","United Kingdom",1973,7.6,2.7,-1,42.86721
"79","Netherlands",1969,6.4,1.4,-2,82.63106
"80","Netherlands",1970,6.7,1.1,-2,86.03879
"81","Netherlands",1971,4.2,1.6,-2,91.87628
"82","Netherlands",1972,3.3,2.8,-1,91.26911
"83","Netherlands",1973,4.7,2.8,-1,87.19008
"84","Netherlands",1974,4,3.5,-1,91.15795
"102","Belgium",1967,3.8753976,3.7,-2,74.54204
"103","Belgium",1968,4.2,4.5,-2,73.58559
"104","Belgium",1969,6.6,3.6,-1,78.44779
"105","Belgium",1970,6.4,2.9,-1,84.37925
"106","Belgium",1971,3.7,2.9,-1,86.75947
"107","Belgium",1972,5.3,3.4,0,86.10609
"108","Belgium",1973,5.9,3.6,0,85.15666
"109","Belgium",1974,4.1,4,0,94.41487
"126","France",1966,5.2141824,0.7,0,24.30256
"127","France",1967,4.6882107,0.9,0,25.00878
"128","France",1968,4.3,1.2,0,24.85014
"129","France",1969,7,1,-1,25.40206
"130","France",1970,5.7,1.2,-1,27.82975
"131","France",1971,5.4,1.6,-1,31.51196
"132","France",1972,5.9,2,-1,32.18585
"133","France",1973,5.4,2.6,-1,32.61595
"136","France",1976,5.2,4.4,-1,37.32651
"153","West Germany",1968,6.3,1.5,0,39.50642
"154","West Germany",1969,7.8,0.9,0,41.40414
"155","West Germany",1970,6,0.7,0,43.06893
"157","West Germany",1972,4.2,1.1,0,43.2477
"158","West Germany",1973,4.7,1.2,0,42.76834
"161","West Germany",1976,5.4,4.6,0,49.9167
"164","West Germany",1979,4.2,3.8,0,50.73377
"176","Austria",1966,5.6429989,1.7,-2,50.82818
"178","Austria",1968,4.5,2,-2,50.87713
"179","Austria",1969,6.3,1.8,-2,51.62636
"180","Austria",1970,7.1,1.4,-2,55.52404
"181","Austria",1971,5.1,1.2,-2,61.16313
"182","Austria",1972,6.2,1,-2,60.62628
"183","Austria",1973,4.9,1,-3,60.49547
"184","Austria",1974,3.9,1.1,-1,60.68523
"186","Austria",1976,4.6,1.7,-1,63.06676
"187","Austria",1977,4.4,1.5,-1,66.72645
"189","Austria",1979,4.7,1.7,-1,66.62471
"198","Austria",1988,4.2,3.6,-1,70.36277
"199","Austria",1989,3.7,3.1304348,-1,74.421892
"200","Austria",1990,4.9,3.2331254,-1,79.472929
"229","Finland",1969,9.6,2.8,-2,43.75069
"230","Finland",1970,7.9,1.9,-2,47.38203
"232","Finland",1972,7.6,2.5,-2,50.48052
"233","Finland",1973,6.7,2.3,-3,50.74626
"240","Finland",1980,5.6,4.6,-3,61.35039
"248","Finland",1988,5.2,4.6,-3,50.27617
"249","Finland",1989,5.4,3.4456059,-3,49.786669
"252","Sweden",1967,3.3656264,1.7,-2,43.72852
"253","Sweden",1968,3.6,2,-2,42.46237
"254","Sweden",1969,5,1.7,-2,43.51757
"255","Sweden",1970,6.5,1.4,-2,46.27839
"258","Sweden",1973,4,1.9,-2,46.86441
